year,sum
1985,0
1986,0
1987,10050.0 
1988,9751.0 
1989,10887.0 
1990,10645.0 
1991,10700.0 
1992,11666.0 
1993,12469.0 
1994,13826.0 
1995,14541.0 
1996,15160.0 
1997,14903.0 
1998,14789.0 
1999,14363.0 
2000,14467.0 
2001,13131.0
2002,12536.0 
2003,12313.0 
2004,11256.0 
2005,10621.0 
2006,10013.0 
2007,10032.0 
2008,9454.0 
2009,9715.0 
2010,9089.0 
2011,8973.0 
2012,9058.0 
2013,0
2014,7968.0 
2015,7574.0 
2016,0
