year,sum
1985,0
1986,0
1987,0
1988,0
1989,0
1990,1997.0 
1991,1904.0 
1992,1991.0 
1993,1917.0 
1994,1872.0 
1995,1733.0 
1996,1568.0 
1997,1666.0 
1998,1613.0 
1999,1610.0 
2000,1649.0 
2001,1623.0 
2002,1534.0 
2003,1719.0 
2004,1583.0 
2005,1565.0 
2006,1400.0 
2007,1379.0 
2008,1379.0 
2009,1464.0 
2010,1502.0 
2011,1590.0 
2012,1658.0 
2013,1577.0 
2014,1489.0 
2015,1387.0 
2016,1318.0 
