year,sum
1985,1456.0 
1986,1408.0 
1987,1492.0 
1988,1452
1989,1460
1990,1323
1991,1384.0 
1992,1519.0 
1993,1470.0 
1994,1464.0 
1995,1433.0 
1996,1526.0 
1997,1465.0 
1998,1503.0 
1999,1307.0 
2000,1383.0 
2001,1314.0 
2002,1317.0 
2003,1092.0 
2004,1013.0 
2005,982.0 
2006,977.0 
2007,902.0 
2008,939.0 
2009,868.0 
2010,859.0 
2011,763.0 
2012,872.0 
2013,721.0 
2014,724.0 
2015,0
2016,0
