year,sum
'85,0
'86,0
'87,0
'88,0
'89,0
'90,4970
'91,5316
'92,5713
'93,5624
‘94,5519
‘95,5499
‘96,5446
‘97,0
‘98,0
‘99,5779
‘00,5841
‘01,5855
‘02,5925
‘03,5836
‘04,6072
‘05,6045
‘06,5805
‘07,5284
‘08,5682
‘09,6477
‘10,6357
‘11,6113
‘12,6368
‘13,6218
‘14,5934
‘15,5420
‘16,0
