year,sum
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,796.0 
1993,738.0 
1994,691.0 
1995,735.0 
1996,672.0 
1997,630.0 
1998,673.0 
1999,692.0 
2000,729.0 
2001,692.0 
2002,717.0 
2003,753.0 
2004,676.0 
2005,679.0 
2006,0.0 
2007,0.0 
2008,591.0 
2009,601.0 
2010,631.0 
2011,0
2012,571.0 
2013,616.0 
2014,554.0 
2015,0.0 
2016,0.0 
