year,sum
1985,1638.0 
1986,1604.0 
1987,1616.0 
1988,1523.0 
1989,1520.0 
1990,1450.0 
1991,1611.0 
1992,1587.0 
1993,1555.0 
1994,1584.0 
1995,1511.0 
1996,1577.0 
1997,1572.0 
1998,1519.0 
1999,1519.0 
2000,1501.0 
2001,1474.0 
2002,1570.0 
2003,1502.0 
2004,1514.0 
2005,1574.0 
2006,1525.0 
2007,1354.0 
2008,1439.0 
2009,1530.0 
2010,1604.0 
2011,1650.0 
2012,1756.0 
2013,1856.0 
2014,1839.0 
2015,1873.0 
2016,1886.0 
