year,sum
1985,0
1986,0
1987,0
1988,0
1989,0
1990,4970.0 
1991,5316.0 
1992,5713.0 
1993,5624.0 
1994,5519.0 
1995,5499.0 
1996,5446.0 
1997,0
1998,0
1999,5779.0 
2000,5841.0 
2001,5855.0 
2002,5925.0 
2003,5836.0 
2004,6072.0 
2005,6045.0 
2006,5805.0 
2007,5284.0 
2008,5682.0 
2009,6477.0 
2010,6357.0 
2011,6113.0 
2012,6368.0 
2013,6218.0 
2014,5934.0 
2015,5420.0 
2016,0
