year,sum
1985,55.0 
1986,51.0 
1987,74.0 
1988,69.0 
1989,73.0 
1990,68.0 
1991,77.0 
1992,59.0 
1993,64.0 
1994,74.0 
1995,63.0 
1996,72.0 
1997,81.0 
1998,64.0 
1999,70.0 
2000,62.0 
2001,73.0 
2002,85.0 
2003,48.0 
2004,62.0 
2005,49.0 
2006,65.0 
2007,78.0 
2008,43.0 
2009,48.0 
2010,54.0 
2011,55.0 
2012,51.0 
2013,40.0 
2014,67.0 
2015,64.0 
2016,0
