year,sum
1985,0
1986,579.0 
1987,649.0 
1988,708.0 
1989,660.0 
1990,659.0 
1991,675.0 
1992,616.0 
1993,590.0 
1994,531.0 
1995,548.0 
1996,517.0 
1997,533.0 
1998,548.0 
1999,583.0 
2000,541.0 
2001,549.0 
2002,494.0
2003,502.0 
2004,529.0 
2005,533.0 
2006,532.0 
2007,485.0 
2008,505.0 
2009,573.0 
2010,548.0 
2011,598.0 
2012,515.0 
2013,554.0 
2014,548.0 
2015,590.0 
2016,0
