sex,country,year,age,generation,suicides_no,population,suicides/100k pop,Suma - HDI for year,Suma -  gdp_for_year ($) ,Suma - gdp_per_capita ($)
male,Canada,1993,25-34 years,1,721,2568700,"28,07",,577170761956,21421
male,Canada,1993,35-54 years,1,1141,4049700,"28,17",,577170761956,21421
male,Canada,1993,5-14 years,5,27,2009100,"1,34",,577170761956,21421
male,Canada,1993,55-74 years,6,499,2127800,"23,45",,577170761956,21421
male,Canada,1993,75+ years,2,138,513400,"26,88",,577170761956,21421
male,Canada,1994,15-24 years,3,506,2048800,"24,7",,578139279438,21219
male,Canada,1994,25-34 years,1,636,2523000,"25,21",,578139279438,21219
male,Canada,1994,35-54 years,1,1150,4177400,"27,53",,578139279438,21219
male,Canada,1994,5-14 years,5,37,2024800,"1,83",,578139279438,21219
male,Canada,1994,55-74 years,6,479,2164400,"22,13",,578139279438,21219
male,Canada,1994,75+ years,2,160,527500,"30,33",,578139279438,21219
male,Canada,1995,15-24 years,3,507,2051200,"24,72",861,604031623433,21871
male,Canada,1995,25-34 years,3,744,2489100,"29,89",861,604031623433,21871
male,Canada,1995,35-54 years,1,1264,4316200,"29,29",861,604031623433,21871
male,Canada,1995,5-14 years,5,22,2045200,"1,08",861,604031623433,21871
male,Canada,1995,55-74 years,6,473,2193400,"21,56",861,604031623433,21871
male,Canada,1995,75+ years,2,146,549900,"26,55",861,604031623433,21871
male,Canada,1996,15-24 years,3,490,2058900,"23,8",,628546387972,22686
male,Canada,1996,25-34 years,3,630,2399900,"26,25",,628546387972,22686
male,Canada,1996,35-54 years,1,1273,4393100,"28,98",,628546387972,22686
male,Canada,1996,5-14 years,5,32,2064700,"1,55",,628546387972,22686
male,Canada,1996,55-74 years,6,506,2212300,"22,87",,628546387972,22686
male,Canada,1996,75+ years,2,162,555800,"29,15",,628546387972,22686
male,Canada,1997,15-24 years,3,464,2076000,"22,35",,652825364726,23245
male,Canada,1997,25-34 years,3,535,2359600,"22,67",,652825364726,23245
male,Canada,1997,35-54 years,1,1230,4525200,"27,18",,652825364726,23245
male,Canada,1997,5-14 years,5,39,2084500,"1,87",,652825364726,23245
male,Canada,1997,55-74 years,6,490,2249500,"21,78",,652825364726,23245
male,Canada,1997,75+ years,2,156,578100,"26,98",,652825364726,23245
male,Canada,1998,15-24 years,3,457,2090656,"21,86",,631813279407,22268
male,Canada,1998,25-34 years,3,568,2301724,"24,68",,631813279407,22268
male,Canada,1998,35-54 years,1,1226,4637556,"26,44",,631813279407,22268
male,Canada,1998,5-14 years,5,30,2094080,"1,43",,631813279407,22268
male,Canada,1998,55-74 years,6,497,2294107,"21,66",,631813279407,22268
male,Canada,1998,75+ years,2,147,599107,"24,54",,631813279407,22268
male,Canada,1999,15-24 years,3,468,2112560,"22,15",,676082654641,23572
male,Canada,1999,25-34 years,3,614,2254396,"27,24",,676082654641,23572
male,Canada,1999,35-54 years,1,1442,4743615,"30,4",,676082654641,23572
male,Canada,1999,5-14 years,5,25,2098556,"1,19",,676082654641,23572
male,Canada,1999,55-74 years,6,520,2341132,"22,21",,676082654641,23572
male,Canada,1999,75+ years,2,155,620972,"24,96",,676082654641,23572
male,Canada,2000,15-24 years,3,430,2131117,"20,18",867,742293448253,25589
male,Canada,2000,25-34 years,3,484,2226742,"21,74",867,742293448253,25589
male,Canada,2000,35-54 years,1,1254,4840239,"25,91",867,742293448253,25589
male,Canada,2000,5-14 years,5,29,2101448,"1,38",867,742293448253,25589
male,Canada,2000,55-74 years,6,455,2390741,"19,03",867,742293448253,25589
male,Canada,2000,75+ years,2,146,644375,"22,66",867,742293448253,25589
male,Canada,2001,15-24 years,5,398,2168038,"18,36",,736379777893,25165
male,Canada,2001,25-34 years,3,500,2182409,"22,91",,736379777893,25165
male,Canada,2001,35-54 years,1,1347,4892041,"27,53",,736379777893,25165
male,Canada,2001,5-14 years,5,14,2096912,"0,67",,736379777893,25165
male,Canada,2001,55-74 years,6,481,2458947,"19,56",,736379777893,25165
male,Canada,2001,75+ years,6,131,665842,"19,67",,736379777893,25165
male,Canada,2002,15-24 years,5,384,2192632,"17,51",,757950678647,25570
male,Canada,2002,25-34 years,3,466,2194450,"21,24",,757950678647,25570
male,Canada,2002,35-54 years,1,1292,4926984,"26,22",,757950678647,25570
male,Canada,2002,5-14 years,5,18,2097593,"0,86",,757950678647,25570
male,Canada,2002,55-74 years,6,527,2550479,"20,66",,757950678647,25570
male,Canada,2002,75+ years,6,164,691551,"23,71",,757950678647,25570
male,Canada,2003,15-24 years,5,409,2211023,"18,5",,892380986368,29787
male,Canada,2003,25-34 years,3,426,2205120,"19,32",,892380986368,29787
male,Canada,2003,35-54 years,1,1317,4950960,"26,6",,892380986368,29787
male,Canada,2003,5-14 years,5,19,2087408,"0,91",,892380986368,29787
male,Canada,2003,55-74 years,6,581,2636917,"22,03",,892380986368,29787
male,Canada,2003,75+ years,6,151,718916,21,,892380986368,29787
male,Canada,2004,15-24 years,5,379,2230355,"16,99",,1023196003075,33787
male,Canada,2004,25-34 years,3,477,2220407,"21,48",,1023196003075,33787
male,Canada,2004,35-54 years,1,1210,4982932,"24,28",,1023196003075,33787
male,Canada,2004,5-14 years,5,17,2069874,"0,82",,1023196003075,33787
male,Canada,2004,55-74 years,6,497,2721795,"18,26",,1023196003075,33787
male,Canada,2004,75+ years,6,154,744741,"20,68",,1023196003075,33787
male,Canada,2005,15-24 years,5,378,2249377,"16,8",892,1169357979865,38218
male,Canada,2005,25-34 years,3,415,2236320,"18,56",892,1169357979865,38218
male,Canada,2005,35-54 years,1,1341,5018957,"26,72",892,1169357979865,38218
male,Canada,2005,5-14 years,5,19,2044772,"0,93",892,1169357979865,38218
male,Canada,2005,55-74 years,6,539,2802901,"19,23",892,1169357979865,38218
male,Canada,2005,75+ years,6,165,772032,"21,37",892,1169357979865,38218
male,Canada,2006,15-24 years,5,331,2288073,"14,47",,1315415197461,42566
male,Canada,2006,25-34 years,3,362,2220384,"16,3",,1315415197461,42566
male,Canada,2006,35-54 years,1,1202,5050497,"23,8",,1315415197461,42566
male,Canada,2006,5-14 years,5,13,2014856,"0,65",,1315415197461,42566
male,Canada,2006,55-74 years,6,599,2910932,"20,58",,1315415197461,42566
male,Canada,2006,75+ years,6,188,806380,"23,31",,1315415197461,42566
male,Canada,2007,15-24 years,5,359,2318148,"15,49",,1464977190206,46890
male,Canada,2007,25-34 years,3,404,2250433,"17,95",,1464977190206,46890
male,Canada,2007,35-54 years,1,1224,5064536,"24,17",,1464977190206,46890
male,Canada,2007,5-14 years,4,18,1986129,"0,91",,1464977190206,46890
male,Canada,2007,55-74 years,6,539,3006062,"17,93",,1464977190206,46890
male,Canada,2007,75+ years,6,183,837259,"21,86",,1464977190206,46890
male,Canada,2008,15-24 years,5,344,2341539,"14,69",,1549131208997,49041
male,Canada,2008,25-34 years,3,395,2286010,"17,28",,1549131208997,49041
male,Canada,2008,35-54 years,1,1241,5076969,"24,44",,1549131208997,49041
male,Canada,2008,5-14 years,4,16,1959155,"0,82",,1549131208997,49041
male,Canada,2008,55-74 years,6,589,3107189,"18,96",,1549131208997,49041
male,Canada,2008,75+ years,6,192,866435,"22,16",,1549131208997,49041
male,Canada,2009,15-24 years,5,349,2355316,"14,82",,1371153004986,42933
male,Canada,2009,25-34 years,3,437,2325144,"18,79",,1371153004986,42933
male,Canada,2009,35-54 years,1,1328,5085328,"26,11",,1371153004986,42933
male,Canada,2009,5-14 years,4,13,1937420,"0,67",,1371153004986,42933
male,Canada,2009,55-74 years,6,680,3216246,"21,14",,1371153004986,42933
male,Canada,2009,75+ years,6,182,893202,"20,38",,1371153004986,42933
male,Canada,2010,15-24 years,5,371,2357806,"15,73",903,1613464422811,49974
male,Canada,2010,25-34 years,3,409,2366854,"17,28",903,1613464422811,49974
male,Canada,2010,35-54 years,3,1292,5088099,"25,39",903,1613464422811,49974
male,Canada,2010,5-14 years,4,19,1922599,"0,99",903,1613464422811,49974
male,Canada,2010,55-74 years,6,690,3333897,"20,7",903,1613464422811,49974
male,Canada,2010,75+ years,6,200,917671,"21,79",903,1613464422811,49974
male,Canada,2011,15-24 years,5,364,2356694,"15,45",909,1788647906048,54841
male,Canada,2011,25-34 years,5,410,2400784,"17,08",909,1788647906048,54841
male,Canada,2011,35-54 years,3,1127,5074280,"22,21",909,1788647906048,54841
male,Canada,2011,5-14 years,4,13,1920567,"0,68",909,1788647906048,54841
male,Canada,2011,55-74 years,1,683,3455517,"19,77",909,1788647906048,54841
male,Canada,2011,75+ years,6,184,943428,"19,5",909,1788647906048,54841
male,Canada,2012,15-24 years,5,381,2358461,"16,15","0,91",1824288757448,55347
male,Canada,2012,25-34 years,5,419,2431632,"17,23","0,91",1824288757448,55347
male,Canada,2012,35-54 years,3,1205,5056024,"23,83","0,91",1824288757448,55347
male,Canada,2012,5-14 years,4,17,1921981,"0,88","0,91",1824288757448,55347
male,Canada,2012,55-74 years,1,770,3586361,"21,47","0,91",1824288757448,55347
male,Canada,2012,75+ years,6,180,967342,"18,61","0,91",1824288757448,55347
male,Canada,2013,15-24 years,5,300,2362807,"12,7",912,1842628005830,55310
male,Canada,2013,25-34 years,5,439,2456335,"17,87",912,1842628005830,55310
male,Canada,2013,35-54 years,3,1244,5032714,"24,72",912,1842628005830,55310
male,Canada,2013,5-14 years,4,15,1927751,"0,78",912,1842628005830,55310
male,Canada,2013,55-74 years,1,812,3724622,"21,8",912,1842628005830,55310
male,Canada,2013,75+ years,6,231,991048,"23,31",912,1842628005830,55310
male,Canada,2014,15-24 years,,,,,,,
male,Canada,2014,25-34 years,,,,,,,
male,Canada,2014,35-54 years,,,,,,,
male,Canada,2014,5-14 years,,,,,,,
male,Canada,2014,55-74 years,,,,,,,
male,Canada,2014,75+ years,,,,,,,
male,Canada,2015,15-24 years,,,,,,,
male,Canada,2015,25-34 years,,,,,,,
male,Canada,2015,35-54 years,,,,,,,
male,Canada,2015,5-14 years,,,,,,,
male,Canada,2015,55-74 years,,,,,,,
male,Canada,2015,75+ years,,,,,,,
male,Canada,2016,15-24 years,,,,,,,
male,Canada,2016,25-34 years,,,,,,,
male,Canada,2016,35-54 years,,,,,,,
male,Canada,2016,5-14 years,,,,,,,
male,Canada,2016,55-74 years,,,,,,,
male,Canada,2016,75+ years,,,,,,,
male,Chile,1985,15-24 years,3,133,1239900,"10,73",654,17702885394,1658
male,Chile,1985,25-34 years,1,122,962600,"12,67",654,17702885394,1658
male,Chile,1985,35-54 years,6,174,1201800,"14,48",654,17702885394,1658
male,Chile,1985,5-14 years,3,9,1240900,"0,73",654,17702885394,1658
male,Chile,1985,55-74 years,2,100,538000,"18,59",654,17702885394,1658
male,Chile,1985,75+ years,2,34,87600,"38,81",654,17702885394,1658
male,Chile,1986,15-24 years,3,108,1261700,"8,56",,18891048819,1728
male,Chile,1986,25-34 years,1,124,1024700,"12,1",,18891048819,1728
male,Chile,1986,35-54 years,6,156,1237100,"12,61",,18891048819,1728
male,Chile,1986,5-14 years,3,7,1224000,"0,57",,18891048819,1728
male,Chile,1986,55-74 years,2,116,550000,"21,09",,18891048819,1728
male,Chile,1986,75+ years,2,21,91400,"22,98",,18891048819,1728
male,Chile,1987,15-24 years,3,116,1293700,"8,97",,22255407685,1985
male,Chile,1987,25-34 years,1,147,1050700,"13,99",,22255407685,1985
male,Chile,1987,35-54 years,6,160,1268600,"12,61",,22255407685,1985
male,Chile,1987,5-14 years,3,6,1255100,"0,48",,22255407685,1985
male,Chile,1987,55-74 years,2,120,563900,"21,28",,22255407685,1985
male,Chile,1987,75+ years,2,19,93700,"20,28",,22255407685,1985
male,Chile,1988,15-24 years,3,112,1259000,"8,9",,26040229793,2303
male,Chile,1988,25-34 years,1,160,1095000,"14,61",,26040229793,2303
male,Chile,1988,35-54 years,6,173,1272000,"13,6",,26040229793,2303
male,Chile,1988,5-14 years,3,5,1263000,"0,4",,26040229793,2303
male,Chile,1988,55-74 years,2,101,566000,"17,84",,26040229793,2303
male,Chile,1988,75+ years,2,29,106000,"27,36",,26040229793,2303
male,Chile,1989,15-24 years,3,140,1255000,"11,16",,29885685143,2599
male,Chile,1989,25-34 years,1,162,1123000,"14,43",,29885685143,2599
male,Chile,1989,35-54 years,6,170,1314000,"12,94",,29885685143,2599
male,Chile,1989,5-14 years,3,11,1280000,"0,86",,29885685143,2599
male,Chile,1989,55-74 years,2,109,579000,"18,83",,29885685143,2599
male,Chile,1989,75+ years,2,34,106000,"32,08",,29885685143,2599
male,Chile,1990,15-24 years,3,134,1256000,"10,67",699,33113887818,2828
male,Chile,1990,25-34 years,1,148,1167000,"12,68",699,33113887818,2828
male,Chile,1990,35-54 years,6,176,1340000,"13,13",699,33113887818,2828
male,Chile,1990,5-14 years,3,9,1276000,"0,71",699,33113887818,2828
male,Chile,1990,55-74 years,2,145,608000,"23,85",699,33113887818,2828
male,Chile,1990,75+ years,2,22,112000,"19,64",699,33113887818,2828
male,Chile,1991,15-24 years,3,142,1243900,"11,42",,37834793730,3187
male,Chile,1991,25-34 years,1,143,1178100,"12,14",,37834793730,3187
male,Chile,1991,35-54 years,1,222,1404000,"15,81",,37834793730,3187
male,Chile,1991,5-14 years,5,5,1289100,"0,39",,37834793730,3187
male,Chile,1991,55-74 years,6,111,617200,"17,98",,37834793730,3187
male,Chile,1991,75+ years,2,31,112500,"27,56",,37834793730,3187
male,Chile,1992,15-24 years,3,94,1245000,"7,55",,45964327559,3791
male,Chile,1992,25-34 years,1,162,1211000,"13,38",,45964327559,3791
male,Chile,1992,35-54 years,1,170,1435000,"11,85",,45964327559,3791
male,Chile,1992,5-14 years,5,6,1316000,"0,46",,45964327559,3791
male,Chile,1992,55-74 years,6,105,640000,"16,41",,45964327559,3791
male,Chile,1992,75+ years,2,25,118000,"21,19",,45964327559,3791
male,Chile,1993,15-24 years,3,118,1237400,"9,54",,49297773130,4006
male,Chile,1993,25-34 years,1,150,1213100,"12,37",,49297773130,4006
male,Chile,1993,35-54 years,1,187,1509600,"12,39",,49297773130,4006
male,Chile,1993,5-14 years,5,9,1334500,"0,67",,49297773130,4006
male,Chile,1993,55-74 years,6,110,649000,"16,95",,49297773130,4006
male,Chile,1993,75+ years,2,50,119900,"41,7",,49297773130,4006
male,Chile,1994,15-24 years,3,135,1235400,"10,93",,57008425296,4551
male,Chile,1994,25-34 years,1,184,1224400,"15,03",,57008425296,4551
male,Chile,1994,35-54 years,1,223,1564900,"14,25",,57008425296,4551
male,Chile,1994,5-14 years,5,2,1359100,"0,15",,57008425296,4551
male,Chile,1994,55-74 years,6,127,666400,"19,06",,57008425296,4551
male,Chile,1994,75+ years,2,33,123700,"26,68",,57008425296,4551
male,Chile,1995,15-24 years,3,149,1250060,"11,92",723,73447063319,5695
male,Chile,1995,25-34 years,3,191,1229397,"15,54",723,73447063319,5695
male,Chile,1995,35-54 years,1,271,1658149,"16,34",723,73447063319,5695
male,Chile,1995,5-14 years,5,10,1390311,"0,72",723,73447063319,5695
male,Chile,1995,55-74 years,6,144,688457,"20,92",723,73447063319,5695
male,Chile,1995,75+ years,2,42,133512,"31,46",723,73447063319,5695
male,Chile,1996,15-24 years,3,163,1251601,"13,02",,78039572222,5946
male,Chile,1996,25-34 years,3,174,1241653,"14,01",,78039572222,5946
male,Chile,1996,35-54 years,1,266,1711922,"15,54",,78039572222,5946
male,Chile,1996,5-14 years,5,7,1408982,"0,5",,78039572222,5946
male,Chile,1996,55-74 years,6,159,710072,"22,39",,78039572222,5946
male,Chile,1996,75+ years,2,27,139885,"19,3",,78039572222,5946
male,Chile,1997,15-24 years,3,147,1255098,"11,71",,84952360922,6368
male,Chile,1997,25-34 years,3,185,1250037,"14,8",,84952360922,6368
male,Chile,1997,35-54 years,1,260,1763823,"14,74",,84952360922,6368
male,Chile,1997,5-14 years,5,6,1422834,"0,42",,84952360922,6368
male,Chile,1997,55-74 years,6,137,734236,"18,66",,84952360922,6368
male,Chile,1997,75+ years,2,41,145725,"28,14",,84952360922,6368
male,Chile,1998,15-24 years,3,151,1261357,"11,97",,81577430181,6023
male,Chile,1998,25-34 years,3,208,1254955,"16,57",,81577430181,6023
male,Chile,1998,35-54 years,1,320,1814884,"17,63",,81577430181,6023
male,Chile,1998,5-14 years,5,4,1431319,"0,28",,81577430181,6023
male,Chile,1998,55-74 years,6,174,760504,"22,88",,81577430181,6023
male,Chile,1998,75+ years,2,42,151228,"27,77",,81577430181,6023
male,Chile,1999,15-24 years,3,137,1271218,"10,78",,75173794497,5470
male,Chile,1999,25-34 years,3,222,1257020,"17,66",,75173794497,5470
male,Chile,1999,35-54 years,1,323,1866819,"17,3",,75173794497,5470
male,Chile,1999,5-14 years,5,3,1434608,"0,21",,75173794497,5470
male,Chile,1999,55-74 years,6,167,788056,"21,19",,75173794497,5470
male,Chile,1999,75+ years,2,51,156699,"32,55",,75173794497,5470
male,Chile,2000,15-24 years,3,216,1284868,"16,81",752,77860932152,5584
male,Chile,2000,25-34 years,3,305,1256699,"24,27",752,77860932152,5584
male,Chile,2000,35-54 years,1,457,1920281,"23,8",752,77860932152,5584
male,Chile,2000,5-14 years,5,8,1433773,"0,56",752,77860932152,5584
male,Chile,2000,55-74 years,6,214,816437,"26,21",752,77860932152,5584
male,Chile,2000,75+ years,2,66,162328,"40,66",752,77860932152,5584
male,Chile,2001,15-24 years,5,253,1302835,"19,42",,70979923960,5020
male,Chile,2001,25-34 years,3,297,1254746,"23,67",,70979923960,5020
male,Chile,2001,35-54 years,1,540,1973130,"27,37",,70979923960,5020
male,Chile,2001,5-14 years,5,12,1430077,"0,84",,70979923960,5020
male,Chile,2001,55-74 years,6,239,840928,"28,42",,70979923960,5020
male,Chile,2001,75+ years,6,51,170681,"29,88",,70979923960,5020
male,Chile,2002,15-24 years,5,241,1324289,"18,2",,69736811435,4866
male,Chile,2002,25-34 years,3,296,1250576,"23,67",,69736811435,4866
male,Chile,2002,35-54 years,1,519,2027249,"25,6",,69736811435,4866
male,Chile,2002,5-14 years,5,17,1421716,"1,2",,69736811435,4866
male,Chile,2002,55-74 years,6,222,866261,"25,63",,69736811435,4866
male,Chile,2002,75+ years,6,62,178855,"34,66",,69736811435,4866
male,Chile,2003,15-24 years,5,234,1347509,"17,37",,75643459840,5208
male,Chile,2003,25-34 years,3,306,1245745,"24,56",,75643459840,5208
male,Chile,2003,35-54 years,1,522,2080845,"25,09",,75643459840,5208
male,Chile,2003,5-14 years,5,20,1409825,"1,42",,75643459840,5208
male,Chile,2003,55-74 years,6,252,893577,"28,2",,75643459840,5208
male,Chile,2003,75+ years,6,68,186783,"36,41",,75643459840,5208
male,Chile,2004,15-24 years,5,295,1369726,"21,54",,99210392858,6744
male,Chile,2004,25-34 years,3,315,1242337,"25,36",,99210392858,6744
male,Chile,2004,35-54 years,1,537,2130985,"25,2",,99210392858,6744
male,Chile,2004,5-14 years,5,15,1395929,"1,07",,99210392858,6744
male,Chile,2004,55-74 years,6,240,924415,"25,96",,99210392858,6744
male,Chile,2004,75+ years,6,70,194364,"36,01",,99210392858,6744
male,Chile,2005,15-24 years,5,265,1388993,"19,08",788,122964812046,8256
male,Chile,2005,25-34 years,3,279,1241761,"22,47",788,122964812046,8256
male,Chile,2005,35-54 years,1,512,2175825,"23,53",788,122964812046,8256
male,Chile,2005,5-14 years,5,26,1381060,"1,88",788,122964812046,8256
male,Chile,2005,55-74 years,6,252,959661,"26,26",788,122964812046,8256
male,Chile,2005,75+ years,6,69,201597,"34,23",788,122964812046,8256
male,Chile,2006,15-24 years,5,256,1407202,"18,19",,154788024806,10270
male,Chile,2006,25-34 years,3,287,1244997,"23,05",,154788024806,10270
male,Chile,2006,35-54 years,1,597,2214294,"26,96",,154788024806,10270
male,Chile,2006,5-14 years,5,20,1367172,"1,46",,154788024806,10270
male,Chile,2006,55-74 years,6,256,993366,"25,77",,154788024806,10270
male,Chile,2006,75+ years,6,82,210746,"38,91",,154788024806,10270
male,Chile,2007,15-24 years,5,302,1422332,"21,23",,173605968179,11387
male,Chile,2007,25-34 years,3,310,1251058,"24,78",,173605968179,11387
male,Chile,2007,35-54 years,1,532,2247973,"23,67",,173605968179,11387
male,Chile,2007,5-14 years,4,19,1352835,"1,4",,173605968179,11387
male,Chile,2007,55-74 years,6,270,1031049,"26,19",,173605968179,11387
male,Chile,2007,75+ years,6,63,219367,"28,72",,173605968179,11387
male,Chile,2008,15-24 years,5,330,1433674,"23,02",,179638496279,11653
male,Chile,2008,25-34 years,3,346,1260323,"27,45",,179638496279,11653
male,Chile,2008,35-54 years,1,616,2277546,"27,05",,179638496279,11653
male,Chile,2008,5-14 years,4,14,1338486,"1,05",,179638496279,11653
male,Chile,2008,55-74 years,6,294,1072247,"27,42",,179638496279,11653
male,Chile,2008,75+ years,6,74,227419,"32,54",,179638496279,11653
male,Chile,2009,15-24 years,5,330,1440637,"22,91",,172389498445,11062
male,Chile,2009,25-34 years,3,362,1273220,"28,43",,172389498445,11062
male,Chile,2009,35-54 years,1,613,2304506,"26,6",,172389498445,11062
male,Chile,2009,5-14 years,4,15,1324547,"1,13",,172389498445,11062
male,Chile,2009,55-74 years,6,316,1116278,"28,31",,172389498445,11062
male,Chile,2009,75+ years,6,88,234780,"37,48",,172389498445,11062
male,Chile,2010,15-24 years,5,315,1442868,"21,83",814,218537551220,13874
male,Chile,2010,25-34 years,3,307,1289792,"23,8",814,218537551220,13874
male,Chile,2010,35-54 years,3,607,2329802,"26,05",814,218537551220,13874
male,Chile,2010,5-14 years,4,18,1311312,"1,37",814,218537551220,13874
male,Chile,2010,55-74 years,6,273,1162662,"23,48",814,218537551220,13874
male,Chile,2010,75+ years,6,98,241464,"40,59",814,218537551220,13874
male,Chile,2011,15-24 years,5,312,1441346,"21,65",821,252251992029,15854
male,Chile,2011,25-34 years,5,330,1309717,"25,2",821,252251992029,15854
male,Chile,2011,35-54 years,3,575,2350457,"24,46",821,252251992029,15854
male,Chile,2011,5-14 years,4,12,1300696,"0,92",821,252251992029,15854
male,Chile,2011,55-74 years,1,339,1205080,"28,13",821,252251992029,15854
male,Chile,2011,75+ years,6,89,250197,"35,57",821,252251992029,15854
male,Chile,2012,15-24 years,5,242,1435400,"16,86",827,267122320057,16617
male,Chile,2012,25-34 years,5,319,1333713,"23,92",827,267122320057,16617
male,Chile,2012,35-54 years,3,555,2370451,"23,41",827,267122320057,16617
male,Chile,2012,5-14 years,4,8,1292347,"0,62",827,267122320057,16617
male,Chile,2012,55-74 years,1,285,1250017,"22,8",827,267122320057,16617
male,Chile,2012,75+ years,6,101,258082,"39,13",827,267122320057,16617
male,Chile,2013,15-24 years,5,224,1425807,"15,71","0,83",278384332694,17140
male,Chile,2013,25-34 years,5,298,1359760,"21,92","0,83",278384332694,17140
male,Chile,2013,35-54 years,3,516,2389789,"21,59","0,83",278384332694,17140
male,Chile,2013,5-14 years,4,12,1285975,"0,93","0,83",278384332694,17140
male,Chile,2013,55-74 years,1,288,1296922,"22,21","0,83",278384332694,17140
male,Chile,2013,75+ years,6,82,265665,"30,87","0,83",278384332694,17140
male,Chile,2014,15-24 years,5,238,1413924,"16,83",832,260584090571,15883
male,Chile,2014,25-34 years,5,289,1384843,"20,87",832,260584090571,15883
male,Chile,2014,35-54 years,3,536,2408469,"22,25",832,260584090571,15883
male,Chile,2014,5-14 years,4,12,1280751,"0,94",832,260584090571,15883
male,Chile,2014,55-74 years,1,308,1345116,"22,9",832,260584090571,15883
male,Chile,2014,75+ years,6,92,273608,"33,62",832,260584090571,15883
male,Chile,2015,15-24 years,5,224,1400822,"15,99",,243999477738,14729
male,Chile,2015,25-34 years,5,296,1406921,"21,04",,243999477738,14729
male,Chile,2015,35-54 years,3,513,2426719,"21,14",,243999477738,14729
male,Chile,2015,5-14 years,4,9,1275612,"0,71",,243999477738,14729
male,Chile,2015,55-74 years,1,301,1394272,"21,59",,243999477738,14729
male,Chile,2015,75+ years,6,117,282308,"41,44",,243999477738,14729
male,Chile,2016,15-24 years,,,,,,,
male,Chile,2016,25-34 years,,,,,,,
male,Chile,2016,35-54 years,,,,,,,
male,Chile,2016,5-14 years,,,,,,,
male,Chile,2016,55-74 years,,,,,,,
male,Chile,2016,75+ years,,,,,,,
male,Colombia,1985,15-24 years,3,256,3190200,"8,02",573,34894411352,1393
male,Colombia,1985,25-34 years,1,193,2323700,"8,31",573,34894411352,1393
male,Colombia,1985,35-54 years,6,188,2451100,"7,67",573,34894411352,1393
male,Colombia,1985,5-14 years,3,12,3443900,"0,35",573,34894411352,1393
male,Colombia,1985,55-74 years,2,113,1015200,"11,13",573,34894411352,1393
male,Colombia,1985,75+ years,2,21,123400,"17,02",573,34894411352,1393
male,Colombia,1986,15-24 years,3,260,3258100,"7,98",,34942489684,1366
male,Colombia,1986,25-34 years,1,189,2373200,"7,96",,34942489684,1366
male,Colombia,1986,35-54 years,6,187,2503200,"7,47",,34942489684,1366
male,Colombia,1986,5-14 years,3,10,3517300,"0,28",,34942489684,1366
male,Colombia,1986,55-74 years,2,81,1036800,"7,81",,34942489684,1366
male,Colombia,1986,75+ years,2,13,126000,"10,32",,34942489684,1366
male,Colombia,1987,15-24 years,3,301,3533143,"8,52",,36373307085,1299
male,Colombia,1987,25-34 years,1,192,2615813,"7,34",,36373307085,1299
male,Colombia,1987,35-54 years,6,147,2567656,"5,73",,36373307085,1299
male,Colombia,1987,5-14 years,3,16,3924075,"0,41",,36373307085,1299
male,Colombia,1987,55-74 years,2,86,1044703,"8,23",,36373307085,1299
male,Colombia,1987,75+ years,2,14,183612,"7,62",,36373307085,1299
male,Colombia,1988,15-24 years,3,243,3543715,"6,86",,39212550050,1369
male,Colombia,1988,25-34 years,1,214,2696739,"7,94",,39212550050,1369
male,Colombia,1988,35-54 years,6,160,2682795,"5,96",,39212550050,1369
male,Colombia,1988,5-14 years,3,14,3998496,"0,35",,39212550050,1369
male,Colombia,1988,55-74 years,2,83,1069673,"7,76",,39212550050,1369
male,Colombia,1988,75+ years,2,27,190910,"14,14",,39212550050,1369
male,Colombia,1989,15-24 years,3,191,3551741,"5,38",,39540080200,1350
male,Colombia,1989,25-34 years,1,194,2777676,"6,98",,39540080200,1350
male,Colombia,1989,35-54 years,6,152,2802188,"5,42",,39540080200,1350
male,Colombia,1989,5-14 years,3,12,4069855,"0,29",,39540080200,1350
male,Colombia,1989,55-74 years,2,87,1096341,"7,94",,39540080200,1350
male,Colombia,1989,75+ years,2,17,197086,"8,63",,39540080200,1350
male,Colombia,1990,15-24 years,3,220,3562908,"6,17",596,40274204595,1346
male,Colombia,1990,25-34 years,1,174,2859281,"6,09",596,40274204595,1346
male,Colombia,1990,35-54 years,6,153,2924679,"5,23",596,40274204595,1346
male,Colombia,1990,5-14 years,3,12,4132729,"0,29",596,40274204595,1346
male,Colombia,1990,55-74 years,2,85,1124943,"7,56",596,40274204595,1346
male,Colombia,1990,75+ years,2,21,202048,"10,39",596,40274204595,1346
male,Colombia,1991,15-24 years,3,280,3569610,"7,84",,41239551378,1348
male,Colombia,1991,25-34 years,1,216,2944422,"7,34",,41239551378,1348
male,Colombia,1991,35-54 years,1,175,3053490,"5,73",,41239551378,1348
male,Colombia,1991,5-14 years,5,24,4191827,"0,57",,41239551378,1348
male,Colombia,1991,55-74 years,6,89,1152018,"7,73",,41239551378,1348
male,Colombia,1991,75+ years,2,14,210787,"6,64",,41239551378,1348
male,Colombia,1992,15-24 years,3,274,3373400,"8,12",,49279585355,1664
male,Colombia,1992,25-34 years,1,251,2922400,"8,59",,49279585355,1664
male,Colombia,1992,35-54 years,1,180,3058800,"5,88",,49279585355,1664
male,Colombia,1992,5-14 years,5,17,3917400,"0,43",,49279585355,1664
male,Colombia,1992,55-74 years,6,108,1154900,"9,35",,49279585355,1664
male,Colombia,1992,75+ years,2,20,215800,"9,27",,49279585355,1664
